,x1,y1,x2,y2,x3,y3,x4,y4
19,89.2394366197183,54.0,89.2394366197183,72.0,173.3645731932463,111.19354838709677,89.2394366197183,108.0
20,90.25352112676057,54.0,90.25352112676057,72.0,172.65885670168842,110.3225806451613,90.25352112676057,108.0
21,91.26760563380282,53.99999999999999,91.26760563380282,72.0,171.929576046457,109.45161290322581,91.26760563380282,107.99999999999999
22,92.28169014084507,54.0,92.28169014084507,72.0,171.17854385552684,108.58064516129032,92.28169014084507,108.0
23,93.29577464788733,54.0,93.29577464788733,72.0,170.4075727568729,107.70967741935485,93.29577464788733,108.0
24,94.30985915492957,54.0,94.30985915492957,72.0,169.61847537847,106.83870967741936,94.30985915492957,108.0
25,95.32394366197184,54.0,95.32394366197184,72.0,168.8130643482931,105.96774193548387,95.32394366197184,108.0
26,96.33802816901408,54.0,96.33802816901408,72.0,167.99315229431707,105.09677419354838,96.33802816901408,108.0
27,97.35211267605635,54.0,97.35211267605635,72.0,167.16055184451682,104.2258064516129,97.35211267605635,108.0
28,98.36619718309859,54.0,98.36619718309859,72.0,166.31707562686717,103.35483870967742,98.36619718309859,108.0
29,99.38028169014085,54.0,99.38028169014085,72.0,165.46453626934309,102.48387096774194,99.38028169014085,108.0
30,100.3943661971831,54.0,100.3943661971831,72.0,164.60474639991943,101.61290322580645,100.3943661971831,108.0
31,101.40845070422534,54.0,101.40845070422534,72.0,163.73951864657113,100.74193548387098,101.40845070422534,108.0
32,102.4225352112676,54.0,102.4225352112676,72.0,162.870665637273,99.87096774193549,102.4225352112676,108.0
33,103.43661971830986,54.0,103.43661971830986,72.0,162.0,99.0,103.43661971830986,108.0
34,104.4507042253521,54.0,104.4507042253521,72.0,162.0,99.0,104.4507042253521,108.0
35,105.46478873239437,54.0,105.46478873239437,72.0,160.58025951304853,97.65242746756087,105.46478873239437,108.0
36,106.47887323943662,54.0,106.47887323943662,72.0,159.1683918938621,96.44656655489139,106.47887323943662,108.0
37,107.49295774647888,54.0,107.49295774647888,72.0,157.77227001020557,95.37454439422658,107.49295774647888,108.0
38,108.50704225352112,54.0,108.50704225352112,72.0,156.399766729844,94.42848811780142,108.50704225352112,108.0
39,109.52112676056338,54.0,109.52112676056338,72.0,155.05875492054236,93.600524857851,109.52112676056338,108.0
40,110.53521126760563,54.0,110.53521126760563,72.0,153.75710745006563,92.88278174661029,110.53521126760563,108.0
41,111.54929577464789,54.0,111.54929577464789,72.0,152.50269718617875,92.26738591631434,111.54929577464789,108.0
42,112.56338028169014,54.0,112.56338028169014,72.0,151.30339699664674,91.74646449919814,112.56338028169014,108.0
43,113.57746478873239,54.0,113.57746478873239,72.0,150.16707974923457,91.31214462749672,113.57746478873239,108.0
44,114.59154929577466,54.0,114.59154929577466,72.0,149.10161831170723,90.9565534334451,114.59154929577466,108.0
45,115.6056338028169,54.0,115.6056338028169,72.0,148.11488555182973,90.67181804927831,115.6056338028169,108.0
